route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
5,1_6,1_6327651,Central Hub,1,102,L5P43
42,1_6,1_6327662,Auburn – Oxford – Webster via Southbridge St.,0,114,L42P32
42,1_6,1_6327663,Central Hub,1,114,L42P35
42,1_6,1_6327660,Auburn – Oxford – Webster via Southbridge St.,0,114,L42P32
42,1_6,1_6327661,Auburn – Oxford – Webster via Southbridge St.,0,114,L42P32
42,1_6,1_6327658,Central Hub,1,114,L42P35
42,1_6,1_6327659,Auburn – Oxford – Webster via Southbridge St.,0,114,L42P32
42,1_6,1_6327656,Central Hub,1,114,L42P35
42,1_6,1_6327657,Auburn – Oxford – Webster via Southbridge St.,0,114,L42P32
4,1_6,1_6327687,Millbury Center,0,106,L4P52
4,1_6,1_6327686,Shoppes at Blackstone Valley,0,106,L4P51
4,1_6,1_6327685,Shoppes at Blackstone Valley,0,106,L4P51
4,1_6,1_6327684,Shoppes at Blackstone Valley,0,106,L4P51
4,1_6,1_6327683,Central Hub,1,106,L4P53
4,1_6,1_6327682,Shoppes at Blackstone Valley,0,106,L4P51
4,1_6,1_6327681,Shoppes at Blackstone Valley,0,106,L4P51
4,1_6,1_6327680,Shoppes at Blackstone Valley,0,106,L4P51
31,1_6,1_6327695,Lincoln Plaza,0,119,L31P36
31,1_6,1_6327694,Lincoln Plaza,0,122,L31P36
31,1_6,1_6327693,Lincoln Plaza,0,122,L31P36
31,1_6,1_6327692,Lincoln Plaza,0,119,L31P36
4,1_6,1_6327691,Central Hub,1,106,L4P53
4,1_6,1_6327690,Central Hub,1,106,L4P53
4,1_6,1_6327689,Central Hub,1,106,L4P53
4,1_6,1_6327688,Central Hub,1,106,L4P53
4,1_6,1_6327670,Central Hub,1,106,L4P53
4,1_6,1_6327671,Central Hub,1,106,L4P53
4,1_6,1_6327668,Central Hub,1,106,L4P53
4,1_6,1_6327669,Central Hub,1,106,L4P53
42,1_6,1_6327666,Central Hub,1,114,L42P35
4,1_6,1_6327667,Central Hub,1,106,L4P53
42,1_6,1_6327664,Central Hub,1,114,L42P35
42,1_6,1_6327665,Central Hub,1,114,L42P35
4,1_6,1_6327678,Shoppes at Blackstone Valley,0,106,L4P51
4,1_6,1_6327679,Shoppes at Blackstone Valley,0,106,L4P51
4,1_6,1_6327676,Shoppes at Blackstone Valley,0,106,L4P51
4,1_6,1_6327677,Shoppes at Blackstone Valley,0,106,L4P51
4,1_6,1_6327674,Shoppes at Blackstone Valley,0,106,L4P51
4,1_6,1_6327675,Shoppes at Blackstone Valley,0,106,L4P51
4,1_6,1_6327672,Central Hub,1,106,L4P53
4,1_6,1_6327673,Central Hub,1,106,L4P53
3,1_6,1_6327719,Worcester State University via Highland St.,0,124,L3P23
3,1_6,1_6327718,Worcester State University via Highland St.,0,124,L3P23
3,1_6,1_6327717,Central Hub,1,124,L3P25
3,1_6,1_6327716,Central Hub,1,124,L3P25
3,1_6,1_6327715,Central Hub,1,124,L3P25
3,1_6,1_6327714,Central Hub,1,124,L3P25
3,1_6,1_6327713,Central Hub,1,124,L3P25
3,1_6,1_6327712,Central Hub,1,124,L3P25
3,1_6,1_6327727,Worcester State University via Highland St.,0,124,L3P23
3,1_6,1_6327726,Worcester State University via Highland St.,0,124,L3P23
3,1_6,1_6327725,Worcester State University via Highland St.,0,124,L3P23
3,1_6,1_6327724,Worcester State University via Highland St.,0,124,L3P23
3,1_6,1_6327723,Central Hub,1,124,L3P25
3,1_6,1_6327722,Worcester State University via Highland St.,0,124,L3P23
3,1_6,1_6327721,Worcester State University via Highland St.,0,124,L3P23
3,1_6,1_6327720,Worcester State University via Highland St.,0,124,L3P23
31,1_6,1_6327703,Central Hub,1,119,L31P38
31,1_6,1_6327702,Central Hub,1,122,L31P38
31,1_6,1_6327701,Central Hub,1,122,L31P38
31,1_6,1_6327700,Central Hub,1,119,L31P38
31,1_6,1_6327699,Lincoln Plaza,0,122,L31P36
31,1_6,1_6327698,Lincoln Plaza,0,119,L31P36
31,1_6,1_6327697,Lincoln Plaza,0,122,L31P36
31,1_6,1_6327696,Lincoln Plaza,0,122,L31P36
31,1_6,1_6327711,Central Hub,1,119,L31P38
31,1_6,1_6327710,Central Hub,1,119,L31P38
31,1_6,1_6327709,Lincoln Plaza,0,119,L31P36
31,1_6,1_6327708,Lincoln Plaza,0,119,L31P36
31,1_6,1_6327707,Central Hub,1,122,L31P38
31,1_6,1_6327706,Central Hub,1,119,L31P38
31,1_6,1_6327705,Central Hub,1,122,L31P38
31,1_6,1_6327704,Central Hub,1,122,L31P38
27,1_6,1_6327751,Central Hub,1,104,L27P62
27,1_6,1_6327750,Central Hub,1,104,L27P62
27,1_6,1_6327749,Central Hub,1,104,L27P62
27,1_6,1_6327748,Central Hub,1,127,L27P62
27,1_6,1_6327747,Central Hub,1,104,L27P62
27,1_6,1_6327746,Central Hub,1,104,L27P62
27,1_6,1_6327745,Central Hub,1,104,L27P63
27,1_6,1_6327744,Central Hub,1,104,L27P63
27,1_6,1_6327759,Auburn Mall via Main St.,0,104,L27P55
27,1_6,1_6327758,Auburn Mall via Main St.,0,104,L27P55
27,1_6,1_6327757,Webster Square Plaza To Stafford St. only,0,104,L27P58
27,1_6,1_6327756,Central Hub,1,104,L27P62
27,1_6,1_6327755,Central Hub,1,127,L27P62
27,1_6,1_6327754,Central Hub,1,127,L27P62
27,1_6,1_6327753,Central Hub,1,104,L27P62
27,1_6,1_6327752,Central Hub,1,127,L27P62
29,1_6,1_6327735,Central Hub,1,101,L29P29
29,1_6,1_6327734,Central Hub,1,101,L29P29
29,1_6,1_6327733,Central Hub,1,101,L29P29
29,1_6,1_6327732,Central Hub,1,101,L29P29
3,1_6,1_6327731,Central Hub,1,124,L3P25
3,1_6,1_6327730,Central Hub,1,124,L3P25
3,1_6,1_6327729,Central Hub,1,124,L3P25
3,1_6,1_6327728,Worcester State University via Highland St.,0,124,L3P23
29,1_6,1_6327743,Big Bunny Plaza Southbridge,0,101,L29P32
29,1_6,1_6327742,Big Bunny Plaza Southbridge,0,101,L29P32
29,1_6,1_6327741,Big Bunny Plaza Southbridge,0,101,L29P32
29,1_6,1_6327740,Big Bunny Plaza Southbridge,0,101,L29P32
29,1_6,1_6327739,Big Bunny Plaza Southbridge,0,101,L29P32
29,1_6,1_6327738,Big Bunny Plaza Southbridge,0,101,L29P32
29,1_6,1_6327737,Central Hub,1,101,L29P29
29,1_6,1_6327736,Central Hub,1,101,L29P29
26,1_6,1_6327783,Central Hub,1,105,L26P53
27,1_6,1_6327782,Central Hub,1,104,L27P62
27,1_6,1_6327781,Central Hub,1,104,L27P62
27,1_6,1_6327780,Auburn Mall via Main St.,0,104,L27P55
27,1_6,1_6327779,Auburn Mall via Main St.,0,104,L27P55
27,1_6,1_6327778,Central Hub,1,104,L27P62
27,1_6,1_6327777,Auburn Mall via Main St.,0,104,L27P55
27,1_6,1_6327776,Central Hub,1,104,L27P62
26,1_6,1_6327791,Central Hub,1,105,L26P43
26,1_6,1_6327790,Central Hub,1,111,L26P43
26,1_6,1_6327789,Central Hub,1,105,L26P43
26,1_6,1_6327788,Central Hub,1,111,L26P43
26,1_6,1_6327787,Central Hub,1,105,L26P43
26,1_6,1_6327786,Central Hub,1,111,L26P43
26,1_6,1_6327785,Central Hub,1,105,L26P43
26,1_6,1_6327784,Central Hub,1,111,L26P43
27,1_6,1_6327767,Auburn Mall via Main St.,0,127,L27P55
27,1_6,1_6327766,Auburn Mall via Main St.,0,104,L27P55
27,1_6,1_6327765,Auburn Mall via Main St.,0,127,L27P55
27,1_6,1_6327764,Auburn Mall via Main St.,0,127,L27P55
27,1_6,1_6327763,Auburn Mall via Main St.,0,127,L27P55
27,1_6,1_6327762,Auburn Mall via Main St.,0,127,L27P55
27,1_6,1_6327761,Auburn Mall via Main St.,0,104,L27P55
27,1_6,1_6327760,Auburn Mall via Main St.,0,127,L27P55
27,1_6,1_6327775,Central Hub,1,127,L27P62
27,1_6,1_6327774,Central Hub,1,127,L27P62
27,1_6,1_6327773,Auburn Mall via Main St.,0,104,L27P55
27,1_6,1_6327772,Auburn Mall via Main St.,0,104,L27P55
27,1_6,1_6327771,Auburn Mall via Main St.,0,104,L27P55
27,1_6,1_6327770,Auburn Mall via Main St.,0,104,L27P55
27,1_6,1_6327769,Webster Square Plaza To Stafford St. only,0,104,L27P58
27,1_6,1_6327768,Auburn Mall via Main St.,0,104,L27P55
26,1_6,1_6327815,Great Brook Valley via Lincoln St.,0,111,L26P50
26,1_6,1_6327814,Great Brook Valley via Lincoln St.,0,105,L26P50
26,1_6,1_6327813,Great Brook Valley via Lincoln St.,0,111,L26P50
26,1_6,1_6327812,Great Brook Valley via Lincoln St.,0,105,L26P50
26,1_6,1_6327811,Central Hub,1,105,L26P43
26,1_6,1_6327810,Central Hub,1,111,L26P43
26,1_6,1_6327809,Central Hub,1,105,L26P43
26,1_6,1_6327808,Central Hub,1,111,L26P43
26,1_6,1_6327823,Great Brook Valley via Lincoln St.,0,111,L26P50
26,1_6,1_6327822,Great Brook Valley via Lincoln St.,0,105,L26P50
26,1_6,1_6327821,Great Brook Valley via Lincoln St.,0,111,L26P50
26,1_6,1_6327820,Great Brook Valley via Lincoln St.,0,105,L26P50
26,1_6,1_6327819,Great Brook Valley via Lincoln St.,0,111,L26P50
26,1_6,1_6327818,Great Brook Valley via Lincoln St.,0,105,L26P50
26,1_6,1_6327817,Great Brook Valley via Lincoln St.,0,111,L26P50
26,1_6,1_6327816,Great Brook Valley via Lincoln St.,0,105,L26P50
26,1_6,1_6327799,Central Hub,1,105,L26P43
26,1_6,1_6327798,Central Hub,1,111,L26P43
26,1_6,1_6327797,Central Hub,1,105,L26P43
26,1_6,1_6327796,Central Hub,1,111,L26P43
26,1_6,1_6327795,Central Hub,1,105,L26P43
26,1_6,1_6327794,Central Hub,1,111,L26P43
26,1_6,1_6327793,Central Hub,1,105,L26P43
26,1_6,1_6327792,Central Hub,1,111,L26P43
26,1_6,1_6327807,Central Hub,1,105,L26P43
26,1_6,1_6327806,Central Hub,1,111,L26P43
26,1_6,1_6327805,Central Hub,1,105,L26P43
26,1_6,1_6327804,Central Hub,1,111,L26P43
26,1_6,1_6327803,Central Hub,1,105,L26P43
26,1_6,1_6327802,Central Hub,1,111,L26P43
26,1_6,1_6327801,Central Hub,1,105,L26P43
26,1_6,1_6327800,Central Hub,1,111,L26P43
24,1_6,1_6327847,Central Hub,1,103,L24P53
24,1_6,1_6327846,Central Hub,1,109,L24P53
24,1_6,1_6327845,Central Hub,1,109,L24P53
24,1_6,1_6327844,Central Hub,1,109,L24P53
24,1_6,1_6327843,Central Hub,1,103,L24P53
24,1_6,1_6327842,Central Hub,1,109,L24P53
26,1_6,1_6327841,Great Brook Valley via Lincoln St.,0,105,L26P50
26,1_6,1_6327840,Great Brook Valley via Lincoln St.,0,111,L26P52
24,1_6,1_6327855,Main St. / Belmont St. / UMass,0,103,L24P44
24,1_6,1_6327854,Main St. / Belmont St. / UMass,0,109,L24P44
24,1_6,1_6327853,Main St. / Belmont St. / UMass,0,103,L24P44
24,1_6,1_6327852,Main St. / Belmont St. / UMass,0,109,L24P44
24,1_6,1_6327851,Main St. / Belmont St. / UMass,0,103,L24P43
24,1_6,1_6327850,Central Hub,1,109,L24P53
24,1_6,1_6327849,Central Hub,1,103,L24P53
24,1_6,1_6327848,Central Hub,1,109,L24P53
26,1_6,1_6327831,Great Brook Valley via Lincoln St.,0,111,L26P50
26,1_6,1_6327830,Great Brook Valley via Lincoln St.,0,105,L26P50
26,1_6,1_6327829,Great Brook Valley via Lincoln St.,0,111,L26P50
26,1_6,1_6327828,Great Brook Valley via Lincoln St.,0,105,L26P50
26,1_6,1_6327827,Great Brook Valley via Lincoln St.,0,111,L26P50
26,1_6,1_6327826,Great Brook Valley via Lincoln St.,0,105,L26P50
26,1_6,1_6327825,Great Brook Valley via Lincoln St.,0,111,L26P50
26,1_6,1_6327824,Great Brook Valley via Lincoln St.,0,105,L26P50
26,1_6,1_6327839,Great Brook Valley via Lincoln St.,0,111,L26P50
26,1_6,1_6327838,Great Brook Valley via Lincoln St.,0,105,L26P50
26,1_6,1_6327837,Great Brook Valley via Lincoln St.,0,111,L26P50
26,1_6,1_6327836,Great Brook Valley via Lincoln St.,0,105,L26P50
26,1_6,1_6327835,Great Brook Valley via Lincoln St.,0,111,L26P50
26,1_6,1_6327834,Great Brook Valley via Lincoln St.,0,105,L26P50
26,1_6,1_6327833,Great Brook Valley via Lincoln St.,0,111,L26P50
26,1_6,1_6327832,Great Brook Valley via Lincoln St.,0,105,L26P50
23,1_6,1_6327879,Central Hub,1,110,L23P81
23,1_6,1_6327878,Central Hub,1,102,L23P81
23,1_6,1_6327877,Central Hub,1,110,L23P81
23,1_6,1_6327876,Central Hub,1,102,L23P81
23,1_6,1_6327875,Central Hub,1,110,L23P81
23,1_6,1_6327874,Central Hub,1,102,L23P81
23,1_6,1_6327873,Central Hub,1,110,L23P81
23,1_6,1_6327872,Central Hub,1,102,L23P81
23,1_6,1_6327887,East Mountain St. via Lincoln St.,0,110,L23P82
23,1_6,1_6327886,East Mountain St. via Lincoln St.,0,102,L23P82
23,1_6,1_6327885,Central Hub,1,110,L23P81
23,1_6,1_6327884,Central Hub,1,143,L23P81
23,1_6,1_6327883,Central Hub,1,110,L23P81
23,1_6,1_6327882,Central Hub,1,143,L23P81
23,1_6,1_6327881,Central Hub,1,110,L23P81
23,1_6,1_6327880,Central Hub,1,102,L23P81
24,1_6,1_6327863,Main St. / Belmont St. / UMass,0,109,L24P44
24,1_6,1_6327862,Main St. / Belmont St. / UMass,0,103,L24P44
24,1_6,1_6327861,Main St. / Belmont St. / UMass,0,109,L24P44
24,1_6,1_6327860,Main St. / Belmont St. / UMass,0,103,L24P44
24,1_6,1_6327859,Main St. / Belmont St. / UMass,0,109,L24P44
24,1_6,1_6327858,Main St. / Belmont St. / UMass,0,103,L24P44
24,1_6,1_6327857,Central Hub,1,103,L24P53
24,1_6,1_6327856,Main St. / Belmont St. / UMass,0,109,L24P44
24,1_6,1_6327871,Central Hub,1,103,L24P54
24,1_6,1_6327870,Central Hub,1,103,L24P54
24,1_6,1_6327869,Central Hub,1,109,L24P53
24,1_6,1_6327868,Central Hub,1,103,L24P53
24,1_6,1_6327867,Main St. / Belmont St. / UMass,0,103,L24P43
24,1_6,1_6327866,Main St. / Belmont St. / UMass,0,109,L24P43
24,1_6,1_6327865,Central Hub,1,103,L24P53
24,1_6,1_6327864,Main St. / Belmont St. / UMass,0,103,L24P43
23,1_6,1_6327911,Central Hub,1,116,L23P81
23,1_6,1_6327910,Central Hub,1,116,L23P81
23,1_6,1_6327909,Central Hub,1,116,L23P81
23,1_6,1_6327908,Central Hub,1,116,L23P81
23,1_6,1_6327907,East Mountain St. via Lincoln St.,0,116,L23P82
23,1_6,1_6327906,East Mountain St. via Lincoln St.,0,116,L23P82
23,1_6,1_6327905,East Mountain St. via Lincoln St.,0,116,L23P82
23,1_6,1_6327904,East Mountain St. via Lincoln St.,0,116,L23P82
2,1_6,1_6327919,Sunny Hill Drive,0,125,L2P58
2,1_6,1_6327918,Central Hub,1,125,L2P61
2,1_6,1_6327917,Sunny Hill Drive,0,125,L2P58
2,1_6,1_6327916,Sunny Hill Drive,0,125,L2P58
2,1_6,1_6327915,Central Hub,1,125,L2P61
2,1_6,1_6327914,Central Hub,1,125,L2P61
23,1_6,1_6327913,Central Hub,1,116,L23P81
23,1_6,1_6327912,Central Hub,1,116,L23P81
23,1_6,1_6327895,East Mountain St. via Lincoln St.,0,110,L23P82
23,1_6,1_6327894,East Mountain St. via Lincoln St.,0,102,L23P82
23,1_6,1_6327893,East Mountain St. via Lincoln St.,0,110,L23P82
23,1_6,1_6327892,East Mountain St. via Lincoln St.,0,102,L23P82
23,1_6,1_6327891,East Mountain St. via Lincoln St.,0,110,L23P82
23,1_6,1_6327890,East Mountain St. via Lincoln St.,0,102,L23P82
23,1_6,1_6327889,East Mountain St. via Lincoln St.,0,110,L23P82
23,1_6,1_6327888,East Mountain St. via Lincoln St.,0,102,L23P82
23,1_6,1_6327903,East Mountain St. via Lincoln St.,0,116,L23P82
23,1_6,1_6327902,East Mountain St. via Lincoln St.,0,116,L23P82
23,1_6,1_6327901,East Mountain St. via Lincoln St.,0,143,L23P82
23,1_6,1_6327900,Central Hub,1,143,L23P81
23,1_6,1_6327899,East Mountain St. via Lincoln St.,0,110,L23P82
23,1_6,1_6327898,East Mountain St. via Lincoln St.,0,143,L23P82
23,1_6,1_6327897,East Mountain St. via Lincoln St.,0,110,L23P82
23,1_6,1_6327896,East Mountain St. via Lincoln St.,0,143,L23P82
19,1_6,1_6327943,Goddard Dr. Apricot St. via Main St.,0,110,L19P99
19,1_6,1_6327942,Goddard Dr. Apricot St. via Main St.,0,143,L19P99
19,1_6,1_6327941,Goddard Dr. Apricot St. via Main St.,0,102,L19P99
19,1_6,1_6327940,Goddard Dr. Apricot St. via Main St.,0,110,L19P99
30,2_7,2_7328133,Central Hub,1,91,L30P59
19,1_6,1_6327939,Goddard Dr. Apricot St. via Main St.,0,102,L19P99
30,2_7,2_7328132,Central Hub,1,91,L30P59
19,1_6,1_6327938,Goddard Dr. Apricot St. via Main St.,0,110,L19P99
19,1_6,1_6327937,Goddard Dr. Apricot St. via Main St.,0,102,L19P99
19,1_6,1_6327936,Goddard Dr. Apricot St. via Main St.,0,102,L19P99
30,2_7,2_7328129,Central Hub,1,91,L30P59
19,1_6,1_6327951,Central Hub,1,143,L19P120
30,2_7,2_7328128,West Boylston WalMart,0,91,L30P62
19,1_6,1_6327950,Goddard Dr. Apricot St. via Main St.,0,110,L19P99
30,2_7,2_7328135,West Boylston WalMart,0,91,L30P62
19,1_6,1_6327949,Webster Square To Stafford St. only,0,110,L19P118
30,2_7,2_7328134,Central Hub,1,91,L30P59
19,1_6,1_6327948,Goddard Dr. Apricot St. via Main St.,0,143,L19P99
30,2_7,2_7328141,West Boylston WalMart,0,91,L30P62
19,1_6,1_6327947,Webster Square To Stafford St. only,0,143,L19P118
30,2_7,2_7328140,West Boylston WalMart,0,91,L30P62
19,1_6,1_6327946,Webster Square To Stafford St. only,0,110,L19P118
30,2_7,2_7328131,Central Hub,1,91,L30P59
19,1_6,1_6327945,Goddard Dr. Apricot St. via Main St.,0,143,L19P99
30,2_7,2_7328130,Central Hub,1,91,L30P59
19,1_6,1_6327944,Goddard Dr. Apricot St. via Main St.,0,110,L19P99
2,1_6,1_6327927,Central Hub,1,125,L2P64
2,1_6,1_6327926,Worcester Airport,0,125,L2P60
2,1_6,1_6327925,Worcester Airport,0,125,L2P60
2,1_6,1_6327924,Worcester Airport,0,125,L2P60
2,1_6,1_6327923,Central Hub,1,125,L2P61
2,1_6,1_6327922,Worcester Airport,0,125,L2P60
2,1_6,1_6327921,Central Hub,1,125,L2P61
2,1_6,1_6327920,Worcester Airport,0,125,L2P60
19,1_6,1_6327935,Central Hub,1,110,L19P122
19,1_6,1_6327934,Central Hub,1,110,L19P122
19,1_6,1_6327933,Central Hub,1,116,L19P120
19,1_6,1_6327932,Central Hub,1,116,L19P120
19,1_6,1_6327931,Central Hub,1,116,L19P120
19,1_6,1_6327930,Central Hub,1,116,L19P120
2,1_6,1_6327929,Central Hub,1,125,L2P64
2,1_6,1_6327928,Central Hub,1,125,L2P64
33,2_7,2_7328153,Central Hub,1,86,L33P70
19,1_6,1_6327975,Central Hub,1,110,L19P120
33,2_7,2_7328152,Central Hub,1,86,L33P70
19,1_6,1_6327974,Central Hub,1,102,L19P120
7,2_7,2_7328159,Central Hub,1,208B,L7P46
19,1_6,1_6327973,Central Hub,1,110,L19P120
33,2_7,2_7328158,Central Hub,1,86,L33P70
19,1_6,1_6327972,Central Hub,1,110,L19P120
7,2_7,2_7328165,Central Hub,1,208B,L7P46
19,1_6,1_6327971,Central Hub,1,143,L19P120
7,2_7,2_7328164,Washington Heights,0,208B,L7P45
19,1_6,1_6327970,Goddard Dr. Apricot St. via Main St.,0,116,L19P99
33,2_7,2_7328155,Central Hub,1,86,L33P70
19,1_6,1_6327969,Central Hub,1,143,L19P120
33,2_7,2_7328154,Central Hub,1,86,L33P70
19,1_6,1_6327968,Central Hub,1,102,L19P120
7,2_7,2_7328161,Washington Heights,0,208B,L7P45
16,1_6,1_6327983,Lincoln Plaza via Hamilton St. & Lake Ave.,0,120,L16P42
7,2_7,2_7328160,Central Hub,1,208B,L7P46
16,1_6,1_6327982,Lincoln Plaza via Hamilton St. & Lake Ave.,0,118,L16P42
7,2_7,2_7328167,Washington Heights,0,208B,L7P45
19,1_6,1_6327981,Central Hub,1,143,L19P122
7,2_7,2_7328166,Washington Heights,0,208B,L7P45
19,1_6,1_6327980,Central Hub,1,116,L19P122
7,2_7,2_7328173,Washington Heights,0,208B,L7P45
19,1_6,1_6327979,Central Hub,1,102,L19P120
7,2_7,2_7328172,Central Hub,1,208B,L7P46
19,1_6,1_6327978,Webster Square To Stafford St. only,0,116,L19P118
7,2_7,2_7328163,Washington Heights,0,208B,L7P45
19,1_6,1_6327977,Webster Square To Stafford St. only,0,110,L19P118
7,2_7,2_7328162,Central Hub,1,208B,L7P46
19,1_6,1_6327976,Webster Square To Stafford St. only,0,143,L19P118
30,2_7,2_7328137,West Boylston WalMart,0,91,L30P62
19,1_6,1_6327959,Goddard Dr. Apricot St. via Main St.,0,110,L19P99
30,2_7,2_7328136,Central Hub,1,91,L30P59
19,1_6,1_6327958,Goddard Dr. Apricot St. via Main St.,0,116,L19P99
33,2_7,2_7328143,Leicester Via Main St. Webster Sq.,0,86,L33P59
19,1_6,1_6327957,Goddard Dr. Apricot St. via Main St.,0,102,L19P99
30,2_7,2_7328142,West Boylston WalMart,0,91,L30P62
19,1_6,1_6327956,Goddard Dr. Apricot St. via Main St.,0,116,L19P99
33,2_7,2_7328149,Leicester Via Main St. Webster Sq.,0,86,L33P59
19,1_6,1_6327955,Goddard Dr. Apricot St. via Main St.,0,110,L19P99
33,2_7,2_7328148,Leicester Via Main St. Webster Sq.,0,86,L33P59
19,1_6,1_6327954,Goddard Dr. Apricot St. via Main St.,0,116,L19P99
30,2_7,2_7328139,West Boylston WalMart,0,91,L30P62
19,1_6,1_6327953,Central Hub,1,116,L19P120
30,2_7,2_7328138,West Boylston WalMart,0,91,L30P62
19,1_6,1_6327952,Central Hub,1,116,L19P120
33,2_7,2_7328145,Leicester Via Main St. Webster Sq.,0,86,L33P59
19,1_6,1_6327967,Central Hub,1,110,L19P120
33,2_7,2_7328144,Leicester Via Main St. Webster Sq.,0,86,L33P59
19,1_6,1_6327966,Central Hub,1,102,L19P120
33,2_7,2_7328151,Central Hub,1,86,L33P70
19,1_6,1_6327965,Central Hub,1,110,L19P120
33,2_7,2_7328150,Leicester Via Main St. Webster Sq.,0,86,L33P59
19,1_6,1_6327964,Central Hub,1,110,L19P120
33,2_7,2_7328157,Central Hub,1,86,L33P70
19,1_6,1_6327963,Central Hub,1,110,L19P120
33,2_7,2_7328156,Central Hub,1,86,L33P70
19,1_6,1_6327962,Central Hub,1,102,L19P120
33,2_7,2_7328147,Leicester Via Main St. Webster Sq.,0,86,L33P59
19,1_6,1_6327961,Goddard Dr. Apricot St. via Main St.,0,116,L19P99
33,2_7,2_7328146,Leicester Via Main St. Webster Sq.,0,86,L33P59
19,1_6,1_6327960,Goddard Dr. Apricot St. via Main St.,0,116,L19P99
5,2_7,2_7328185,Broad Meadow Brook Audobon Center,0,88,L5P45
15,1_6,1_6328007,Shrewsbury Center via Shrewsbury St. & Route 9,0,126,L15P57
5,2_7,2_7328184,Central Hub,1,88,L5P43
15,1_6,1_6328006,Shrewsbury Center via Shrewsbury St. & Route 9,0,126,L15P57
5,2_7,2_7328191,Central Hub,1,88,L5P43
15,1_6,1_6328005,Shrewsbury Center via Shrewsbury St. & Route 9,0,126,L15P57
5,2_7,2_7328190,Central Hub,1,88,L5P43
15,1_6,1_6328004,Shrewsbury Center via Shrewsbury St. & Route 9,0,126,L15P57
4,2_7,2_7328197,Shoppes at Blackstone Valley,0,87,L4P51
15,1_6,1_6328003,Shrewsbury Center via Shrewsbury St. & Route 9,0,126,L15P57
4,2_7,2_7328196,Central Hub,1,87,L4P53
15,1_6,1_6328002,Shrewsbury Center via Shrewsbury St. & Route 9,0,126,L15P57
5,2_7,2_7328187,Central Hub,1,88,L5P43
16,1_6,1_6328001,Lincoln Plaza via Hamilton St. & Lake Ave.,0,123,L16P42
5,2_7,2_7328186,Central Hub,1,88,L5P43
16,1_6,1_6328000,Lincoln Plaza via Hamilton St. & Lake Ave.,0,123,L16P42
5,2_7,2_7328193,Central Hub,1,88,L5P43
15,1_6,1_6328015,Shrewsbury Center via Shrewsbury St. & Route 9,0,126,L15P57
5,2_7,2_7328192,Central Hub,1,88,L5P43
15,1_6,1_6328014,Central Hub,1,126,L15P58
4,2_7,2_7328199,Shoppes at Blackstone Valley,0,87,L4P51
15,1_6,1_6328013,Central Hub,1,126,L15P58
4,2_7,2_7328198,Shoppes at Blackstone Valley,0,87,L4P51
15,1_6,1_6328012,Central Hub,1,126,L15P58
4,2_7,2_7328205,Central Hub,1,87,L4P53
15,1_6,1_6328011,Central Hub,1,126,L15P58
4,2_7,2_7328204,Shoppes at Blackstone Valley,0,87,L4P51
15,1_6,1_6328010,Central Hub,1,126,L15P58
5,2_7,2_7328195,Broad Meadow Brook Audobon Center,0,88,L5P45
15,1_6,1_6328009,Central Hub,1,126,L15P58
5,2_7,2_7328194,Central Hub,1,88,L5P43
15,1_6,1_6328008,Central Hub,1,126,L15P58
7,2_7,2_7328169,Washington Heights,0,208B,L7P45
16,1_6,1_6327991,Central Hub,1,120,L16P43
7,2_7,2_7328168,Washington Heights,0,208B,L7P45
16,1_6,1_6327990,Central Hub,1,118,L16P43
7,2_7,2_7328175,Central Hub,1,208B,L7P47
16,1_6,1_6327989,Lincoln Plaza via Hamilton St. & Lake Ave.,0,123,L16P42
7,2_7,2_7328174,Central Hub,1,208B,L7P47
16,1_6,1_6327988,Lincoln Plaza via Hamilton St. & Lake Ave.,0,118,L16P42
5,2_7,2_7328181,Broad Meadow Brook Audobon Center,0,88,L5P45
16,1_6,1_6327987,Lincoln Plaza via Hamilton St. & Lake Ave.,0,120,L16P42
5,2_7,2_7328180,Broad Meadow Brook Audobon Center,0,88,L5P45
16,1_6,1_6327986,Lincoln Plaza via Hamilton St. & Lake Ave.,0,118,L16P42
7,2_7,2_7328171,Central Hub,1,208B,L7P47
16,1_6,1_6327985,Lincoln Plaza via Hamilton St. & Lake Ave.,0,120,L16P42
7,2_7,2_7328170,Central Hub,1,208B,L7P47
16,1_6,1_6327984,Lincoln Plaza via Hamilton St. & Lake Ave.,0,118,L16P42
5,2_7,2_7328177,Broad Meadow Brook Audobon Center,0,88,L5P45
16,1_6,1_6327999,Central Hub,1,123,L16P43
5,2_7,2_7328176,Broad Meadow Brook Audobon Center,0,88,L5P45
16,1_6,1_6327998,Central Hub,1,123,L16P43
5,2_7,2_7328183,Central Hub,1,88,L5P43
16,1_6,1_6327997,Central Hub,1,123,L16P43
5,2_7,2_7328182,Broad Meadow Brook Audobon Center,0,88,L5P45
16,1_6,1_6327996,Central Hub,1,118,L16P43
5,2_7,2_7328189,Broad Meadow Brook Audobon Center,0,88,L5P45
16,1_6,1_6327995,Central Hub,1,120,L16P43
5,2_7,2_7328188,Central Hub,1,88,L5P43
16,1_6,1_6327994,Central Hub,1,118,L16P43
5,2_7,2_7328179,Broad Meadow Brook Audobon Center,0,88,L5P45
16,1_6,1_6327993,Central Hub,1,118,L16P43
5,2_7,2_7328178,Broad Meadow Brook Audobon Center,0,88,L5P45
16,1_6,1_6327992,Central Hub,1,120,L16P40
